"year","incident.date","incident.type","track","division","count"
"148",2010,2010-02-17,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"149",2010,2010-02-17,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"150",2010,2010-02-18,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"151",2010,2010-02-20,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"152",2010,2010-02-25,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"153",2010,2010-02-27,"EQUINE DEATH","Yonkers Raceway","Harness",1
"154",2010,2010-03-04,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"155",2010,2010-03-04,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"156",2010,2010-03-04,"EQUINE DEATH","Yonkers Raceway","Harness",1
"157",2010,2010-03-07,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"158",2010,2010-03-11,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"159",2010,2010-03-11,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"160",2010,2010-03-11,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"161",2010,2010-03-13,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"162",2010,2010-03-18,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"163",2010,2010-03-19,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"164",2010,2010-03-19,"EQUINE DEATH","Saratoga Gaming & Raceway","Harness",1
"165",2010,2010-03-23,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"166",2010,2010-04-02,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"167",2010,2010-04-02,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"168",2010,2010-04-03,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"169",2010,2010-04-04,"EQUINE DEATH","Buffalo Raceway","Harness",1
"170",2010,2010-04-05,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"171",2010,2010-04-08,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
